Year,Temperature
1900,14.87
1901,14.39
1902,13.62
1903,13.72
1904,13.78
1905,14
1906,14.37
1907,14.08
1908,13.69
1909,14.51
1910,14.55
1911,14.75
1912,14.57
1913,14
1914,15.05
1915,14.21
1916,14.03
1917,14.11
1918,14.03
1919,14.32
1920,12.39
1921,14.23
1922,14.75
1923,13.68
1924,13.72
1925,14.63
1926,14.72
1927,13.74
1928,14.81
1929,13.46
1930,14.22
1931,14.46
1932,14.32
1933,14.11
1934,13.53
1935,14.09
1936,14.57
1937,13.59
1938,14.29
1939,14.01
1940,14.42
1941,14.35
1942,13.79
1943,14.49
1944,14.63
1945,14.13
1946,13.61
1947,14.65
1948,14.51
1949,14.5
1950,13.8
1951,14.24
1952,14.18
1953,14.26
1954,15.17
1955,14.76
1956,15.42
1957,14.5
1958,15.19
1959,14.19
1960,14.23
1961,15.45
1962,14.96
1963,14.98
1964,14.79
1965,13.91
1966,15.56
1967,14.46
1968,13.89
1969,15.02
1970,14.2
1971,14.43
1972,14.67
1973,14.84
1974,15.01
1975,14.94
1976,14.59
1977,15.16
1978,14.66
1979,15
1980,14.62
1981,14.61
1982,14.46
1983,15.64
1984,14.39
1985,14.88
1986,14.45
1987,14.67
1988,16.07
1989,15.57
1990,14.55
1991,23.15
1992,14.34
1993,15.28
1994,15.63
1995,13.89
1996,14.88
1997,15.53
1998,15.4
1999,16.07
2000,14.62
2001,14.49
2002,16.12
2003,15.62
2004,15.06
2005,14.75
2006,15.06
2007,14.45
2008,14.89
2009,15.41
2010,15.17
2011,15.41
2012,15.08
2013,14.51
2014,15.34
2015,22.15
2016,15.27
2017,15.8
2018,14.94
2019,16.13
2020,15.04
2021,15.59
2022,15.22
2023,14.86
2024,15.09
